serial	gene_name	short_description	Curator_summary	Computational_description
418	AT4G08870	Arginase/deacetylase superfamily protein	Encodes one of the two arginase in the genome. Gene expression is enhanced by methyl jasmonate treatment.  It is involved in the defense response to B.cinerea.	Arginase/deacetylase superfamily protein;(source:Araport11)
419	AT4G09320	Nucleoside diphosphate kinase family protein	nucleoside diphosphate kinase type 1 (NDPK1) gene, complete The mRNA is cell-to-cell mobile.	nucleoside diphosphate kinase;(source:Araport11)
420	AT4G09430	Disease resistance protein (TIR-NBS-LRR class) family		disease resistance protein (TIR-NBS-LRR class);(source:Araport11)
421	AT4G09820	basic helix-loop-helix (bHLH) DNA-binding superfamily protein	TT8 is a regulation factor that acts in a concerted action with TT1, PAP1 and TTG1 on the regulation of flavonoid pathways, namely proanthocyanidin and anthocyanin biosynthesis.  Affects dihydroflavonol 4-reductase gene expression. It is thought that a ternary complex composed of TT2, TT8 and TTG1 is necessary for correct expression of BAN in seed endothelium. Also important for important for marginal trichome development. It binds the promoter of both AT3G26790 and AT1G28300.TT8 interacts with JAZ  proteins to regulate anthocyanin accumulation. TT8 acts maternally to affect seed FA biosynthesis and inhibits seed FA accumulation by down-regulating a group of genes either critical to embryonic development or important in the FA biosynthesis pathway. TT8 represses the activities of LEAFY COTYLEDON1, LEAFY COTYLEDON2, and FUSCA3, the critical transcriptional factors important for seed development.	basic helix-loop-helix (bHLH) DNA-binding superfamily protein;(source:Araport11)
422	AT4G10650	P-loop containing nucleoside triphosphate hydrolases superfamily protein		P-loop containing nucleoside triphosphate hydrolases superfamily protein;(source:Araport11)
423	AT4G10930			RING/U-box protein;(source:Araport11)
424	AT4G11130	RNA-dependent RNA polymerase 2	Encodes RNA-dependent RNA polymerase that is required for endogenous siRNA (but not miRNA) formation. Nomenclature according to Xie, et al. (2004).	RNA-dependent RNA polymerase 2;(source:Araport11)
425	AT4G11270			Transducin/WD40 repeat-like superfamily protein;(source:Araport11)
426	AT4G11420	eukaryotic translation initiation factor 3A	Encodes a subunit of eukaryotic initiation factor 3 (eIF3), a multisubunit complex that is required for binding of mRNA to 40 S ribosomal subunits, stabilization of ternary complex binding to 40 S subunits, and dissociation of 40 and 60 S subunits.	eukaryotic translation initiation factor 3A;(source:Araport11)
427	AT4G11800	Calcineurin-like metallo-phosphoesterase superfamily protein		Calcineurin-like metallo-phosphoesterase superfamily protein;(source:Araport11)
428	AT4G11900			S-locus lectin protein kinase family protein;(source:Araport11)
429	AT4G12030		Required for the biosynthesis of methionine-derived glucosinolates. Involved in the  transport of 2-keto acids between chloroplasts and the cytosol.	bile acid transporter 5;(source:Araport11)
430	AT4G12070			hypothetical protein;(source:Araport11)
431	AT4G12320	cytochrome P450, family 706, subfamily A, polypeptide 6	member of CYP706A	cytochrome P450, family 706, subfamily A, polypeptide 6;(source:Araport11)
432	AT4G12390	pectin methylesterase inhibitor 1		pectin methylesterase inhibitor 1;(source:Araport11)
433	AT4G12480	Bifunctional inhibitor/lipid-transfer protein/seed storage 2S albumin superfamily protein	Encodes a putative lipid transfer protein, vernalization-responsive and cold-induced. It is involved in priming the SAR and ISR responses, specifically in propagating the cell-to-cell mobile signal. The kinases MPK3 (AT3G45640) and MPK6 (AT2G43790) promote the accumulation of AZI1/EARLI1 at plastids during defense priming induction. The kinases MPK3 (AT3G45640) and MPK6 (AT2G43790) promote the accumulation of AZI1/EARLI1 at plastids during defense priming induction.	Bifunctional inhibitor/lipid-transfer protein/seed storage 2S albumin superfamily protein;(source:Araport11)
434	AT4G12490	Bifunctional inhibitor/lipid-transfer protein/seed storage 2S albumin superfamily protein	Encodes a member of the AZI family of lipid transfer proteins. Contains a PRR domain that appears to be required for localization to the chloroplast.	Bifunctional inhibitor/lipid-transfer protein/seed storage 2S albumin superfamily protein;(source:Araport11)
435	AT4G12570	ubiquitin protein ligase 5	Knock-out mutants showed accelerated senescence of leaves. The mRNA is cell-to-cell mobile.	ubiquitin protein ligase 5;(source:Araport11)
436	AT4G12910			serine carboxypeptidase-like 20;(source:Araport11)
437	AT4G13750	Histidine kinase-, DNA gyrase B-, and HSP90-like ATPase family protein	Encodes NO VEIN (NOV), a plant-specific nuclear factor required for leaf vascular development, cellular patterning and stem cell maintenance in the root meristem, as well as for cotyledon outgrowth and separation. nov mutations affect many aspects of auxin-dependent development without directly affecting auxin perception.	Histidine kinase-, DNA gyrase B-, and HSP90-like ATPase family protein;(source:Araport11)
438	AT4G13770	cytochrome P450, family 83, subfamily A, polypeptide 1	Encodes a cytochrome p450 enzyme that catalyzes the initial conversion of aldoximes to thiohydroximates in the synthesis of glucosinolates not derived from tryptophan.   Also has a role in auxin homeostasis.	cytochrome P450, family 83, subfamily A, polypeptide 1;(source:Araport11)
439	AT4G13800			magnesium transporter NIPA (DUF803);(source:Araport11)
440	AT4G13810			receptor like protein 47;(source:Araport11)
441	AT4G13840	HXXXD-type acyl-transferase family protein		HXXXD-type acyl-transferase family protein;(source:Araport11)
442	AT4G14090	UDP-Glycosyltransferase superfamily protein	The At4g14090 encodes a anthocyanidin 5-O-glucosyltransferase specifically glucosylating the 5-position of the flavonoid A-ring.	UDP-Glycosyltransferase superfamily protein;(source:Araport11)
443	AT4G14130	xyloglucan endotransglucosylase/hydrolase 15	xyloglucan endotransglycosylase-related protein (XTR7)	xyloglucan endotransglucosylase/hydrolase 15;(source:Araport11)
444	AT4G14220	RING-H2 group F1A	encodes a RING-type E3 ubiquitin ligase implicated in gametogenesis. RHF1a can interact with the cell cycle inhibitor ICK4/KRP6 in vitro. It apppears to target ICK4KRP6 for degradation following meiosis in order to allow the mitoses associated with megagametogenesis and microgametogenesis to occur. RHF1a is expressed in the carpels throughout floral development. It is expressed in various tissues of the anthers during the early stages of anther development but not in stage 12 flowers and beyond. The mRNA is cell-to-cell mobile.	RING-H2 group F1A;(source:Araport11)
445	AT4G14365	XB3 ortholog 4 in Arabidopsis thaliana		hypothetical protein;(source:Araport11)
446	AT4G15200		Actin nucleation factor that directs the formation of actin cables in pollen tubes. Involved in cytoplasmic streaming and polarized growth in pollen tubes.	formin 3;(source:Araport11)
447	AT4G15530		Encodes a dual-targeted protein believed to act as a pyruvate, orthophosphate dikinase. These enzymes are normally associated with C4 photosynthesis which does not occur in Arabidopsis. However, PPDK may play a role in remobilizing nitrogen during leaf senescence in Arabidopsis. The product of the long transcript (.1 gene model) was shown to be targeted to the chloroplast, whereas the shorter transcript (no targeting sequence) accumulates in the cytosol. The two proteins were also found to be expressed in slightly different tissues.	pyruvate orthophosphate dikinase;(source:Araport11)
448	AT4G15660	Thioredoxin superfamily protein	Encodes a member of the CC-type glutaredoxin (ROXY) family. Represses transcriptional and  developmental responses to nitrate. Operates downstream of cytokinins in a signal transduction pathway that negatively regulates plant primary  root growth in response to nitrate.Interacts with the  TGA1 and TGA4 transcription factors, which are central regulators of early transcriptional responses to nitrate in root.	Thioredoxin superfamily protein;(source:Araport11)
449	AT4G15670	Thioredoxin superfamily protein	Encodes a member of the CC-type glutaredoxin (ROXY) family.	Thioredoxin superfamily protein;(source:Araport11)
450	AT4G15680	Thioredoxin superfamily protein	Encodes a member of the CC-type glutaredoxin (ROXY) family. Operates downstream of cytokinins in a signal transduction pathway that negatively regulates plant primary  root growth in response to nitrate.	Thioredoxin superfamily protein;(source:Araport11)
451	AT4G15690	Thioredoxin superfamily protein	Encodes a member of the CC-type glutaredoxin (ROXY) family that has been shown to interact with the transcription factor TGA2 and suppress ORA59 promoter activity. Operates downstream of cytokinins in a signal transduction pathway that negatively regulates plant primary  root growth in response to nitrate.	Thioredoxin superfamily protein;(source:Araport11)
452	AT4G15700	Thioredoxin superfamily protein	Encodes a member of the CC-type glutaredoxin (ROXY) family. Operates downstream of cytokinins in a signal transduction pathway that negatively regulates plant primary  root growth in response to nitrate.	Thioredoxin superfamily protein;(source:Araport11)
453	AT4G16130	arabinose kinase	Arabinokinase.	arabinose kinase;(source:Araport11)
454	AT4G16860		Confers resistance to Peronospora parasitica.  RPP4 is coordinately regulated by transcriptional activation and RNA silencing.	Disease resistance protein (TIR-NBS-LRR class) family;(source:Araport11)
455	AT4G17140	pleckstrin homology (PH) domain-containing protein		pleckstrin homology (PH) domain-containing protein;(source:Araport11)
456	AT4G17245	RING/U-box superfamily protein		RING/U-box superfamily protein;(source:Araport11)
457	AT4G17250			transmembrane protein;(source:Araport11)
458	AT4G17470			alpha/beta-Hydrolases superfamily protein;(source:Araport11)
459	AT4G17550	Major facilitator superfamily protein	Encodes a member of the phosphate starvation-induced glycerol-3-phosphate permease gene family: AT3G47420(G3Pp1), AT4G25220(G3Pp2), AT1G30560(G3Pp3), AT4G17550(G3Pp4) and AT2G13100(G3Pp5).	Major facilitator superfamily protein;(source:Araport11)
460	AT4G17610			tRNA/rRNA methyltransferase (SpoU) family protein;(source:Araport11)
461	AT4G17810		C2H2 domain regulatory protein. Functions downstream of GL2 during root hair development and regulates expression of targets RDH6, RSL2 and RSL4.	C2H2 and C2HC zinc fingers superfamily protein;(source:Araport11)
462	AT4G17970	aluminum-activated, malate transporter 12	Anion transporter involved  in stomatal closure. Gene has 3 splicing variants.	aluminum-activated, malate transporter 12;(source:Araport11)
463	AT4G18197	purine permease 7	Member of a family of proteins related to PUP1, a purine transporter. May be involved in the transport of purine and purine derivatives such as cytokinins, across the plasma membrane. The mRNA is cell-to-cell mobile.	purine permease 7;(source:Araport11)
464	AT4G18205	Nucleotide-sugar transporter family protein		Nucleotide-sugar transporter family protein;(source:Araport11)
465	AT4G18250	receptor serine/threonine kinase, putative		receptor Serine/Threonine kinase-like protein;(source:Araport11)
466	AT4G18600		Encodes a member of the SCAR family.These proteins are part of a complex (WAVE) complex.The SCAR subunit activates the ARP2/3 complex which in turn act as a nucleator for actin filaments.	SCAR family protein;(source:Araport11)
467	AT4G19510			Disease resistance protein (TIR-NBS-LRR class);(source:Araport11)
468	AT4G19520			disease resistance protein (TIR-NBS-LRR class) family;(source:Araport11)
469	AT4G19710	aspartate kinase-homoserine dehydrogenase ii	Encodes a bifunctional aspartate kinase/homoserine dehydrogenase.  These two activities catalyze the first and the third steps toward the synthesis of the essential amino acids threonine, isoleucine and methionine.	aspartate kinase-homoserine dehydrogenase ii;(source:Araport11)
470	AT4G19960		Encodes a potassium ion transmembrane transporter. Also mediates cesium uptake when expressed in E. coli.The mRNA is cell-to-cell mobile. Maintains root meristem activity by regulating K+ and auxin homeostasis in response to low K.	K+ uptake permease 9;(source:Araport11)
471	AT4G20020		Encodes a protein involved in RNA editing in mitochondria. Member of MORF family consisting of of nine full-length proteins encoded in the nuclear genome. MORF proteins are required for all RNA editing events in plastids and for many, possibly also all, sites in mitochondria. Potential link between the RNA binding PPR protein and the protein contributing the enzymatic activity in RNA editing.	multiple organellar RNA editing factor;(source:Araport11)
472	AT4G20110	VACUOLAR SORTING RECEPTOR 7		VACUOLAR SORTING RECEPTOR 7;(source:Araport11)
473	AT4G22690	cytochrome P450, family 706, subfamily A, polypeptide 1	member of CYP706A The mRNA is cell-to-cell mobile.	cytochrome P450, family 706, subfamily A, polypeptide 1;(source:Araport11)
474	AT4G23010	UDP-galactose transporter 2		UDP-galactose transporter 2;(source:Araport11)
475	AT4G23130		Encodes a receptor-like protein kinase. Naming convention from Chen et al 2003 (PMID 14756307)	cysteine-rich RLK (RECEPTOR-like protein kinase) 5;(source:Araport11)
476	AT4G23140	cysteine-rich RLK (RECEPTOR-like protein kinase) 6	Arabidopsis thaliana receptor-like protein kinase. Naming convention from Chen et al 2003 (PMID 14756307)	cysteine-rich RLK (RECEPTOR-like protein kinase) 6;(source:Araport11)
477	AT4G23170	receptor-like protein kinase-related family protein	Induced in response to Salicylic acid.Similar to receptor-like kinase 4 and 5. NPR1, a known positive regulator of the SA signaling pathway is responsible for the SA-dependent induction and constitutive repression of EP1 gene's basal expression. The mRNA is cell-to-cell mobile.	receptor-like protein kinase-related family protein;(source:Araport11)
478	AT4G23220	cysteine-rich RLK (RECEPTOR-like protein kinase) 14	Encodes a cysteine-rich receptor-like protein kinase.	cysteine-rich RECEPTOR-like kinase;(source:Araport11)
479	AT4G23600	Tyrosine transaminase family protein	Encodes cystine lyase which is expected to be involved in amino acid metabolism, providing the plant with cysteine and the generation of precursors of ethylene biosynthesis.  mRNA levels are elevated in response to wounding.	Tyrosine transaminase family protein;(source:Araport11)
480	AT4G24450			phosphoglucan, water dikinase;(source:Araport11)
481	AT4G24770		Encodes a chloroplast RNA-binding protein.  A substrate of the type III effector HopU1 (mono-ADP-ribosyltransferase).  Required for editing and stability of specific chloroplast mRNAs.	31-kDa RNA binding protein;(source:Araport11)
482	AT4G25990		chloroplast import apparatus CIA2-like. CIA2 is a transcription factor which upregulates chloroplast translocon genes	CCT motif family protein;(source:Araport11)
483	AT4G27010			ribosome 60S biogenesis amino-terminal protein;(source:Araport11)
484	AT4G27060	ARM repeat superfamily protein	Encodes a novel, plant-specific microtubule-associated protein that regulates the orientation of cortical microtubules and the direction of organ growth.  The protein plays a role in control of microtubule dependent anisotropic cell elongation. spr2 mutant rosette leaves, cauline leaves, roots, petioles and petals curl in an anticlockwise direction.	ARM repeat superfamily protein;(source:Araport11)
485	AT4G27070	tryptophan synthase beta-subunit 2	Tryptophan synthase beta. Expressed at low levels in all tissues. The mRNA is cell-to-cell mobile.	tryptophan synthase beta-subunit 2;(source:Araport11)
486	AT4G27640	ARM repeat superfamily protein	Nuclear import receptor for GRF-interacting factors (GIFs),roles in ovule development.	ARM repeat superfamily protein;(source:Araport11)
487	AT4G28710	Myosin family protein with Dil domain	member of Myosin-like proteins The mRNA is cell-to-cell mobile.	Myosin family protein with Dil domain-containing protein;(source:Araport11)
488	AT4G28780	GDSL-like Lipase/Acylhydrolase superfamily protein	GDSL-motif  esterase/acyltransferase/lipase. Enzyme group with broad substrate specificity that may catalyze acyltransfer or hydrolase reactions with lipid and non-lipid substrates.	GDSL-like Lipase/Acylhydrolase superfamily protein;(source:Araport11)
489	AT4G29020	glycine-rich protein		glycine-rich protein;(source:Araport11)
490	AT4G29050			Concanavalin A-like lectin protein kinase family protein;(source:Araport11)
491	AT4G29110			cotton fiber protein;(source:Araport11)
492	AT4G29380		The gene encodes phosphatidylinositol 3-  kinase involved in the development and germination of pollen through the biosynthesis of phosphatidylinositol 3-phosphate (PI3P).The mRNA is cell-to-cell mobile.	protein kinase family protein / WD-40 repeat family protein;(source:Araport11)
493	AT4G30270	xyloglucan endotransglucosylase/hydrolase 24	encodes a protein similar to endo xyloglucan transferase in sequence. It is also very similar to BRU1 in soybean, which is involved in brassinosteroid response.	xyloglucan endotransglucosylase/hydrolase 24;(source:Araport11)
494	AT4G30610	alpha/beta-Hydrolases superfamily protein	Encodes a secreted glycosylated serine carboxypeptidase with broad substrate preference that is involved in brassinosteroid signalling via BRI1.  It is proteolytically processed in vivo by a separate as yet unidentified protease.	alpha/beta-Hydrolases superfamily protein;(source:Araport11)
495	AT4G30950	fatty acid desaturase 6	Chloroplastic enzyme responsible for the synthesis of 16:2 and 18:2 fatty acids from galactolipids, sulpholipids and phosphatidylglycerol. Uses ferredoxin as electron donor. Gene mutation resulted in reduced level of unsaturated fatty acids leading to susceptibility to photoinhibition.	fatty acid desaturase 6;(source:Araport11)
496	AT4G30990			ARM repeat superfamily protein;(source:Araport11)
497	AT4G32770	tocopherol cyclase, chloroplast / vitamin E deficient 1 (VTE1) / sucrose export defective 1 (SXD1)	Tocopherol cyclase involved in tocopherol (vitamin E)synthesis. VTE1 over-expressing plants have increased tocopherol indicating VTE1 is a major limiting factor in tocopherol synthesis. Mutants defective in this gene accumulate high amounts of zeaxanthin in conditions of high light or low temperature.  Plays a role in the adaptation to low temperature stress, notably phloem loading.	tocopherol cyclase, chloroplast / vitamin E deficient 1 (VTE1) / sucrose export defective 1 (SXD1);(source:Araport11)
498	AT4G32850		Encodes a nuclear poly(A) polymerase. Located in the nucleus.The mRNA is cell-to-cell mobile.	nuclear poly(a) polymerase;(source:Araport11)
499	AT4G33240		Encodes a protein that is predicted to act as a 1-phosphatidylinositol-3-phosphate (PtdIns3P) 5-kinase based on its homology to Fab1 from yeast. It contains an FYVE domain required for binding to PtdIns3P-containing membranes in yeast, as well as a Cpn60_TCP1 homology domain plus a kinase domain.  fab1a/fab1b pollen grains not viable and have defective vacuolar organization. FAB1A and FAB1B complement the enlarged vacuolar phenotype of the fission yeast ste12delta mutant.	1-phosphatidylinositol-3-phosphate 5-kinase FAB1A;(source:Araport11)
500	AT4G34135	UDP-glucosyltransferase 73B2	The At4g34135 gene encodes a flavonol 7-O-glucosyltransferase (EC 2.4.1.237) that glucosylates also with a 20 fold lower activity flavonols (kaempferol and quercetin) at the 3-O-position.	UDP-glucosyltransferase 73B2;(source:Araport11)
501	AT4G34610			BEL1-like homeodomain 6;(source:Araport11)
502	AT4G34890	xanthine dehydrogenase 1	Encodes a xanthine dehydrogenase, involved in purine catabolism. Ubiquitously expressed, but the transcript level is altered during aging, senescence, salt and cold stress, ABA treatment, and dark  treatment. RNAi lines that suppress both XDH1 and XDH2 produce small plants with reduced fertility and  accelerated leaf senescence. Role in drought tolerance.	xanthine dehydrogenase 1;(source:Araport11)
503	AT4G36140			disease resistance protein (TIR-NBS-LRR class);(source:Araport11)
504	AT4G36580	AAA-type ATPase family protein	Homologue of animal ATPase Family AAA Domain-Containing Protein 3 (ATAD3),   which is involved in mitochondrial nucleoid organization; interacts with SHOT1.	AAA-type ATPase family protein;(source:Araport11)
505	AT4G36930	basic helix-loop-helix (bHLH) DNA-binding superfamily protein	Encodes a transcription factor of the bHLH protein family. Mutants have abnormal, unfused carpels and reduced seed dormancy.	basic helix-loop-helix (bHLH) DNA-binding superfamily protein;(source:Araport11)
506	AT4G39250	RAD-like 1		RAD-like 1;(source:Araport11)
507	AT5G02310		Encodes PROTEOLYSIS6 (PRT6), a component of the N-end rule pathway that targets protein degradation through the identity of the amino-terminal residue of specific protein substrates. Another component of the N-end rule pathway is arginyl-tRNA:protein arginyltransferase (ATE).  Arabidopsis contains two ATE genes: At5g05700/ATE1, At3g11240/ATE2. PRT6 and ATE were shown to regulate seed after-ripening, seedling sugar sensitivity, seedling lipid breakdown, and abscisic acid (ABA) sensitivity of germination. PRT6 has also been show to be involved in the response to pathogens. The mRNA is cell-to-cell mobile.	proteolysis 6;(source:Araport11)
508	AT5G02580			argininosuccinate lyase;(source:Araport11)
509	AT5G02760	Protein phosphatase 2C family protein	Encodes a phosphatase that functions in sustaining proper leaf longevity and preventing early senescence by suppressing or perturbing SARK-mediated senescence signal transduction.	Protein phosphatase 2C family protein;(source:Araport11)
510	AT5G02870	Ribosomal protein L4/L1 family		Ribosomal protein L4/L1 family;(source:Araport11)
511	AT5G02880		encodes a ubiquitin-protein ligase containing a HECT domain. There are six other HECT-domain UPLs in Arabidopsis.The mRNA is cell-to-cell mobile.	ubiquitin-protein ligase 4;(source:Araport11)
512	AT5G03280	NRAMP metal ion transporter family protein	Involved in ethylene signal transduction. Acts downstream of CTR1. Positively regulates ORE1 and negatively regulates mir164A,B,C to regulate leaf senescence. A maternally expressed imprinted gene. Mutations in ein2 block ethylene stimulation of flavonol synthesis. The mRNA is cell-to-cell mobile.	NRAMP metal ion transporter family protein;(source:Araport11)
513	AT5G03640		AGCVIII kinase involved in the pulse-induced first positive phototropism.	Protein kinase superfamily protein;(source:Araport11)
514	AT5G04020			calmodulin binding protein;(source:Araport11)
515	AT5G04720	ADR1-like 2	Encodes a member of the ADR1 family nucleotide-binding leucine-rich repeat (NB-LRR) immune receptors. The mRNA is cell-to-cell mobile.	ADR1-like 2;(source:Araport11)
516	AT5G04930	aminophospholipid ATPase 1	Encodes a putative aminophospholipid translocase (p-type ATPase) involved in chilling response.  It is targeted to the plasma membrane following association in the endoplasmic reticulum with an ALIS protein beta-subunit. The mRNA is cell-to-cell mobile.	aminophospholipid ATPase 1;(source:Araport11)
517	AT5G05190	Protein of unknown function (DUF3133)		hypothetical protein (DUF3133);(source:Araport11)
518	AT5G05210	Surfeit locus protein 6		Surfeit locus protein 6;(source:Araport11)
519	AT5G05570	transducin family protein / WD-40 repeat family protein		transducin family protein / WD-40 repeat family protein;(source:Araport11)
520	AT5G05760	syntaxin of plants 31	A SNARE protein (ortholog of syntaxin 5), a membrane fusion machine component involved in cytokinesis	syntaxin of plants 31;(source:Araport11)
521	AT5G06043			hypothetical protein;(source:Araport11)
522	AT5G06330	Late embryogenesis abundant (LEA) hydroxyproline-rich glycoprotein family		Late embryogenesis abundant (LEA) hydroxyproline-rich glycoprotein family;(source:Araport11)
523	AT5G06770		KHZ2  is a CCCH zinc-finger and KH domain protein belonging to the VII subfamily. It is expressed throughout the plant. Highly similar to KHZ1.Double mutants with khz1 are  late flowering. Overexpression leads to increased rates of leaf senescence.	KH domain-containing protein / zinc finger (CCCH type) family protein;(source:Araport11)
524	AT5G07770			Actin-binding FH2 protein;(source:Araport11)
525	AT5G07830	glucuronidase 2	Belongs to the plant glycoside hydrolase family 79. Encodes a protein with several posttranslational modification sites including O-&#946;-GlcNAc attachment sites and serine-, threonine- and  tyrosine-phosphorylation sites, suggesting that this protein is extensively modified posttranslationally. The protein is predicted  (WoLF PSORT program) to be membrane-associated.  It is involved in cell elongation. The mRNA is cell-to-cell mobile.	glucuronidase 2;(source:Araport11)
526	AT5G07990	Cytochrome P450 superfamily protein	Required for flavonoid 3' hydroxylase activity. Enzyme abundance relative to CHS determines Quercetin/Kaempferol metabolite ratio. The mRNA is cell-to-cell mobile.	Cytochrome P450 superfamily protein;(source:Araport11)
527	AT5G08230	Tudor/PWWP/MBT domain-containing protein	HUA and HUA-LIKE (HULK) genes act redundantly to regulate a subset of essential genes, with some (or all) family members also having specific functions.	tudor/PWWP/MBT domain protein;(source:Araport11)
528	AT5G09730	beta-xylosidase 3	Encodes a protein similar to a beta-xylosidase located in the extracellular matrix. It is able to degrade terminal arabinosyl residues and likely participates in the in-vivo hydrolysis of arabinan. This is a member of glycosyl hydrolase family 3 and has six other closely related members.	beta-xylosidase 3;(source:Araport11)
529	AT5G10760	Eukaryotic aspartyl protease family protein		Eukaryotic aspartyl protease family protein;(source:Araport11)
530	AT5G11170	DEAD/DEAH box RNA helicase family protein 	One of two genes encoding an ATP-dependent RNA helicase that localizes predominantly to euchromatic regions of Arabidopsis nuclei, and associates with genes transcribed by RNA polymerase II independently from the presence of introns.  It is not detected at non-transcribed loci. It interacts with ssRNA, dsRNA and dsDNA, but not with ssDNA. Its ATPase activity is stimulated by RNA and dsDNA and its ATP-dependent RNA helicase activity unwinds dsRNA but not dsDNA.	DEAD/DEAH box RNA helicase family protein;(source:Araport11)
531	AT5G11250		Encodes an atypical TIR-NBS-LRR protein that is involved in stress responses. Loss of function alleles overproduce stress hormones JA,SA, ABA, and ET.	Disease resistance protein (TIR-NBS-LRR class);(source:Araport11)
532	AT5G13210	Uncharacterised conserved protein UCP015417,  vWA		Uncharacterized conserved protein UCP015417, vWA;(source:Araport11)
533	AT5G13370	Auxin-responsive GH3 family protein	IBA - specific acyl acid amido synthetase which conjugates glutamine to IBA. It is involved in generating inactive and/or storage forms of IBA in the seedling, root, and silique. May play a role in auxin homeostasis by modulating the levels of IBA for peroxisomal conversion to IAA.	Auxin-responsive GH3 family protein;(source:Araport11)
534	AT5G13530	protein kinases;ubiquitin-protein ligases	Encodes KEEP ON GOING (KEG), a RING E3 ligase involved in abscisic acid signaling.  KEG is essential for Arabidopsis growth and development.  ABA promotes KEG degradation via the ubiquitin dependent 26S proteasome pathway. Associates with and ubiquitinates MKK4 and MKK5 to regulate plant immunity.	protein kinases;(source:Araport11)
535	AT5G13640		arabidopsis phospholipid:diacylglycerol acyltransferase (PDAT)	phospholipid:diacylglycerol acyltransferase;(source:Araport11)
536	AT5G13650	elongation factor family protein	Encodes SVR3, a putative chloroplast TypA translation elongation GTPase.  Loss of SVR3 suppresses variegation mediated by var2.  SVR3 is essential for plants’ ability to develop functional chloroplasts under chilling stress (8C), but not at normal temperature (22C).	elongation factor family protein;(source:Araport11)
537	AT5G14200	isopropylmalate dehydrogenase 1	The AtIMD1 is one out of 3 genes encoding the enzyme 3-isopropylmalate dehydrogenase involved in leucine biosynthesis in Arabidopsis. Its subcellular location has been targeted to plastids. Encodes methylthioalkylmalate dehydrogenase. Involved in glucosinolate biosynthesis, in methionine chain elongation. The mRNA is cell-to-cell mobile.	isopropylmalate dehydrogenase 1;(source:Araport11)
538	AT5G15090	voltage dependent anion channel 3	Encodes a voltage-dependent anion channel (VDAC: AT3G01280/VDAC1, AT5G67500/VDAC2, AT5G15090/VDAC3, AT5G57490/VDAC4, AT5G15090/VDAC5). VDACs are reported to be porin-type, beta-barrel diffusion pores. They are prominently localized in the outer mitochondrial membrane and are involved in metabolite exchange between the organelle and the cytosol. Purified VDAC3 is shown to have voltage-dependent anion channel activity.	voltage dependent anion channel 3;(source:Araport11)
539	AT5G15540	PHD finger family protein	Encodes Adherin SCC2. Essential for viability. Required for normal seed development. Plays a role in the establishment of  sister-chromatid cohesion and chromosome organization  during meiosis.	PHD finger family protein;(source:Araport11)
540	AT5G15680	ARM repeat superfamily protein		ARM repeat superfamily protein;(source:Araport11)
541	AT5G15810	N2,N2-dimethylguanosine tRNA methyltransferase	Involved in posttranscriptional modification of tRNA.	tRNA (guanine(26)-N(2))-dimethyltransferase;(source:Araport11)
542	AT5G15950			Derives_from AT5G15950;(source:Araport11)
543	AT5G16000	NSP-interacting kinase 1	NSP-interacting kinase (NIK1), receptor-like kinase, involved in defense response against geminivirus  It acts as a virulence target of the begomovirus nuclear shuttle protein (NSP).	NSP-interacting kinase 1;(source:Araport11)
544	AT5G17700			MATE efflux family protein;(source:Araport11)
545	AT5G17860		Cation/Ca2+ exchanger family member. Double mutants with CCX4 show delayed greening and defects in ROS response.	calcium exchanger 7;(source:Araport11)
546	AT5G18525	protein serine/threonine kinases;protein tyrosine kinases;ATP binding;protein kinases	Encodes a BEACH domain containing protein that is involved in targeting storage proteins to the protein storage vacuoles and effector triggered immunity to Psuedomonas syringae.	protein serine/threonine kinase;(source:Araport11)
547	AT5G19260	Protein of unknown function (DUF3049)	A member of the FAF family proteins encoded by the FANTASTIC FOUR (FAF) genes:   AT4G02810 (FAF1), AT1G03170 (FAF2), AT5G19260 (FAF3) and AT3G06020 (FAF4).  FAFs have the potential to regulate shoot meristem size in Arabidopsis thaliana. FAFs can repress WUS, which ultimately leads to an arrest of meristem activity in FAF overexpressing lines.	FANTASTIC four-like protein (DUF3049);(source:Araport11)
548	AT5G19850	alpha/beta-Hydrolases superfamily protein		alpha/beta-Hydrolases superfamily protein;(source:Araport11)
549	AT5G20320		Encodes an RNase III-like enzyme that catalyzes processing of trans-acting small interfering RNA precursors in a distinct small RNA biogenesis pathway. The protein is also involved in the production of 21-nt primary siRNAs from both inverted-repeat constructs and endogenous sequences, as well as the RDR6-dependent 21-nt secondary siRNAs involved in long-range cell-to-cell signaling.  It binds DRB4, a ds-RNA binding protein.	dicer-like 4;(source:Araport11)
550	AT5G20480		Encodes a predicted leucine-rich repeat receptor kinase (LRR-RLK).  Functions as the receptor for bacterial PAMP (pathogen associated molecular patterns) EF-Tu.	EF-TU receptor;(source:Araport11)
551	AT5G20980	methionine synthase 3	Encodes a plastidic methionine synthase, involved in methionine de novo synthesis in the chloroplast	methionine synthase 3;(source:Araport11)
552	AT5G22300		encodes a nitrilase isomer. The purified enzyme shows a strong substrate specificity for beta-cyano-L-alanine, a intermediate product of the cyanide detoxification pathway.The mRNA is cell-to-cell mobile.	nitrilase 4;(source:Araport11)
553	AT5G22340			NF-kappa-B inhibitor-like protein;(source:Araport11)
554	AT5G22390	Protein of unknown function (DUF3049)		FANTASTIC four-like protein (DUF3049);(source:Araport11)
